Browser,Event,Object Parameters,Chart,Status
Chrome,rendered,"('preventDefault = ', {})",pie,PASS
Chrome,rendered,"('detached = ', False)",pie,PASS
Chrome,rendered,"('detachHandler = ', {})",pie,PASS
Chrome,rendered,"('senderChartType = ', u'pie')",pie,PASS
Chrome,rendered,"('dObj1 = ', u'javascript')",pie,PASS
Chrome,ready,"('eventType = ', u'ready')",pie,PASS
Chrome,ready,"('eventId = ', 93)",pie,PASS
Chrome,ready,"('cancelled = ', False)",pie,PASS
Chrome,ready,"('stopPropagation = ', {})",pie,PASS
Chrome,ready,"('defaultPrevented = ', False)",pie,PASS
Chrome,ready,"('preventDefault = ', {})",pie,PASS
Chrome,ready,"('detached = ', False)",pie,PASS
Chrome,ready,"('detachHandler = ', {})",pie,PASS
Chrome,ready,"('senderChartType = ', u'FroalaCharts')",pie,PASS
Chrome,ready,"('dObj1 = ', True)",pie,PASS
Chrome,beforeinitialize,"('eventType = ', u'beforeinitialize')",pie,PASS
Chrome,beforeinitialize,"('eventId = ', 94)",pie,PASS
Chrome,beforeinitialize,"('cancelled = ', False)",pie,PASS
Chrome,beforeinitialize,"('stopPropagation = ', {})",pie,PASS
Chrome,beforeinitialize,"('defaultPrevented = ', False)",pie,PASS
Chrome,beforeinitialize,"('preventDefault = ', {})",pie,PASS
Chrome,beforeinitialize,"('detached = ', False)",pie,PASS
Chrome,beforeinitialize,"('detachHandler = ', {})",pie,PASS
Chrome,beforeinitialize,"('senderChartType = ', u'pie')",pie,PASS
Chrome,beforeinitialize,"('dataFormat = ', u'json')",pie,PASS
Chrome,beforeinitialize,"('dataSource = ', u'{""chart"":{""caption"":""Split of Visitors by Age Group"",""subCaption"":""Last year"",""use3DLighting"":""0"",""showPercentValues"":""1"",""decimals"":""1"",""useDataPlotColorForLabels"":""1"",""theme"":""fusion"",""exportEnabled"":""1"",""exportFileName"":""DemoExport"",""bgImage"":""https://upload.wikimedia.org/wikipedia/commons/7/79/Misc_fruit.jpg""},""data"":[{""label"":""Teenage"",""value"":""1250400""},{""label"":""Adult"",""value"":""1463300""},{""label"":""Mid-age"",""value"":""1050700""},{""label"":""Senior"",""value"":""491000""}]}')",pie,PASS
Chrome,beforeinitialize,"('height = ', u'600')",pie,PASS
